HIGH LEVEL ITEMS LOGIC,,,,,HIGH LEVEL SLOT LOGIC,,,,,,,,OFFER SPECIFICS,,,,,HELPERS,,,,,,,LOOTPOOLOPTIONS GENERATOR,,,,,,,,,,,
"The item offered in the deal (e.g. egg, coins, potion)",How much cheaper the item is vs its normal shop price,What the player pays in gems to buy this deal,The list of slot numbers (1–6) where this item is permitted to appear,,,The internal name of the slot being configured (dailyDeals_slot_X_base),Minimum gem price for an item to appear in this deal position,"Maximum gem price — above this, the item is too expensive for this position","Target % of pet upgrade offers in this position (0 = none, 100 = only pets)",,,,Selection frequency: higher = this offer appears more often than others in the same position,"how many units the player receives (e.g. 300 coins, 2 potions)",REWARDED (free after watching an ad) or CURRENCY (paid with in-game currency),"How the player pays: gems, coins, or by watching an ad",,Calculated gem value of this specific offer (used for the range check),the calculated Hard Currency equivalent of this specific offer,✅ TRUE = the offer price fits this position's budget. ❌ FALSE = the price is out of range and must be corrected,the intended share of this item type within the slot (e.g. 33% = 1 in 3 picks),Total number of item entries competing in this slot's random draw,,,The deal position this row belongs to,DO NOT FILL,The item shown to the player when this entry is selected,,Actual selection frequency used in the calculation (may be overridden),Real probability (%) that this exact offer appears in the daily deal,,,"the final price combining quantity and currency, as it would appear in the UI",DO NOT FILL,DO NOT FILL,Unlock condition: this deal only appears once the player has reached a specific world
~Items,~Discount,~Price in HC,~Slot Availability,,~Number of pet offers,~Slot,~HC Value Min,~HC Value Max,~Perventage of shards in the offer slot,,,,~Weight,~&reward.quantity,priceType,&price.resourceId,,~HC Range in slot (Helper),~Price in HC (Helper),~Price in Range (Helper),Amount of kind of item ,~Number of offers,,,~poolId,,~Selected Item,,~weight,~probability %,,,Price (mix),,,~requirementId
egg.common,16.67%,50,"2, 3, 4",,0,dailyDeals_slot_1_base,12,20,0,,dailyDeals_slot_1_base,currency.coins,40.0,300,,,,12 - 20,12,TRUE,40%,4,,,dailyDeals_slot_1_base,,currency.coins,300,40.00,40.00%,,, ,,,
egg.rare,16.67%,150,"4, 5, 6",,0,dailyDeals_slot_2_base,30,50,0,,dailyDeals_slot_1_base,currency.gems,40.0,15,,,,12 - 20,15,TRUE,40%,3,,,dailyDeals_slot_1_base,,currency.gems,15,40.00,40.00%,,, ,,,
egg.epic,16.67%,300,"5, 6",,5,dailyDeals_slot_3_base,5,50,71,,dailyDeals_slot_1_base,consumable.potion,10.0,1,,,,12 - 20,15,TRUE,10%,9,,,dailyDeals_slot_1_base,,consumable.potion,1,10.00,10.00%,,, ,,,
egg.legendary,16.67%,600,6,,8,dailyDeals_slot_4_base,8,180,42,,dailyDeals_slot_1_base,currency.ticketBlue,10.0,1,,,,12 - 20,17,TRUE,10%,15,,,dailyDeals_slot_1_base,,currency.ticketBlue,1,10.00,10.00%,,, ,,,reach_world_7
currency.coins,60.00%,0.04,"1, 4, 5, 6",,10,dailyDeals_slot_5_base,10,360,42,,dailyDeals_slot_2_base,egg.common,1.0,1,REWARDED,ad_rewarded,,30 - 50,50,TRUE,33%,16,,,dailyDeals_slot_2_base,,egg.common,1,1.00,33.33%,REWARDED,ad_rewarded,1,,,
currency.gems,0.00%,1,1,,16,dailyDeals_slot_6_base,12,720,84,,dailyDeals_slot_2_base,consumable.potion,1.0,2,REWARDED,ad_rewarded,,30 - 50,30,TRUE,33%,21,,,dailyDeals_slot_2_base,,consumable.potion,2,1.00,33.33%,REWARDED,ad_rewarded,1,,,
dynamic_random_candy,20.00%,80,"4, 5",,,,,,,,dailyDeals_slot_2_base,currency.ticketBlue,1.0,2,REWARDED,ad_rewarded,,30 - 50,34,TRUE,33%,,,,dailyDeals_slot_2_base,,currency.ticketBlue,2,1.00,33.33%,REWARDED,ad_rewarded,1,,,reach_world_7
consumable.potion,25.00%,15,"1, 2, 3, 4",,,"This part is an auto-weight attributor for shards. You can activate it or not. If not, the ""~Weight"" column will be used.",,,,,dailyDeals_slot_3_base,egg.common,10.0,1,CURRENCY,currency.gems,,5 - 50,50,TRUE,10%,,,,dailyDeals_slot_3_base,,egg.common,1,10.00,9.90%,CURRENCY,currency.gems,50,,,
currency.ticketBlue,15.00%,17,"1, 2, 3",,,,,,,,dailyDeals_slot_3_base,consumable.potion,10.0,1,CURRENCY,currency.gems,,5 - 50,15,TRUE,10%,,,,dailyDeals_slot_3_base,,consumable.potion,1,10.00,9.90%,CURRENCY,currency.gems,15,,,
dynamic_owned_pet,12.00%,4.5,"3, 4, 5, 6",,,Weight Calculator For Shards,Activate?,TRUE,TRUE,,dailyDeals_slot_3_base,currency.ticketBlue,10.0,1,CURRENCY,currency.gems,,5 - 50,17,TRUE,10%,,,,dailyDeals_slot_3_base,,currency.ticketBlue,1,10.00,9.90%,CURRENCY,currency.gems,17,,,reach_world_7
,,,,,,Center,0.5,"""What is the most frequent value ?"" 0 is the lowest value, 1 is the highest value",,,dailyDeals_slot_3_base,dynamic_owned_pet,35.0,4,CURRENCY,currency.gems,,5 - 50,18,TRUE,70%,,,,dailyDeals_slot_3_base,,dynamic_owned_pet,4,11.84,11.73%,CURRENCY,currency.gems,18,,,
dynamic_random_candy,20.00%,80,"4,5",,,Deviation,30,"""How well distributed the values are going to be"" 0 is all the values are concentrated at the center, 1000 is all the values are equal",,,dailyDeals_slot_3_base,dynamic_owned_pet,35.0,4,CURRENCY,currency.coins,,5 - 50,18,TRUE,70%,,,,dailyDeals_slot_3_base,,dynamic_owned_pet,4,11.84,11.73%,CURRENCY,currency.coins,180,,,
,,,,,,,,,,,dailyDeals_slot_3_base,dynamic_owned_pet,7.0,2,CURRENCY,currency.coins,,5 - 50,9,TRUE,70%,,,,dailyDeals_slot_3_base,,dynamic_owned_pet,2,11.84,11.73%,CURRENCY,currency.coins,90,,,
,,,,,,,,,,,dailyDeals_slot_3_base,dynamic_owned_pet,7.0,3,CURRENCY,currency.coins,,5 - 50,13.5,TRUE,70%,,,,dailyDeals_slot_3_base,,dynamic_owned_pet,3,11.85,11.73%,CURRENCY,currency.coins,135,,,
,,,,,,,,,,,dailyDeals_slot_3_base,dynamic_owned_pet,10.0,5,CURRENCY,currency.gems,,5 - 50,22.5,TRUE,70%,,,,dailyDeals_slot_3_base,,dynamic_owned_pet,5,11.83,11.71%,CURRENCY,currency.gems,20,,,
,,,,,,,,,,,dailyDeals_slot_3_base,dynamic_owned_pet,21.0,6,CURRENCY,currency.gems,,5 - 50,27,TRUE,70%,,,,dailyDeals_slot_3_base,,dynamic_owned_pet,6,11.79,11.68%,CURRENCY,currency.gems,25,,,
,,,,,,,,,,,dailyDeals_slot_4_base,egg.common,7.0,2,CURRENCY,currency.gems,,8 - 180,100,TRUE,5%,,,,dailyDeals_slot_4_base,,egg.common,2,7.00,5.43%,CURRENCY,currency.gems,100,,,
,,,,,,,,,,,dailyDeals_slot_4_base,egg.rare,7.0,1,CURRENCY,currency.gems,,8 - 180,150,TRUE,5%,,,,dailyDeals_slot_4_base,,egg.rare,1,7.00,5.43%,CURRENCY,currency.gems,150,,,
,,,,,,,,,,,dailyDeals_slot_4_base,currency.coins,10.0,2500,CURRENCY,currency.gems,,8 - 180,100,TRUE,8%,,,,dailyDeals_slot_4_base,,currency.coins,2500,10.00,7.75%,CURRENCY,currency.gems,100,,,
,,,,,,,,,,,dailyDeals_slot_4_base,dynamic_random_candy,21.0,1,CURRENCY,currency.gems,,8 - 180,80,TRUE,33%,,,,dailyDeals_slot_4_base,,dynamic_random_candy,1,21.00,16.28%,CURRENCY,currency.gems,80,,,reach_world_5
,,,,,,,,,,,dailyDeals_slot_4_base,consumable.potion,21.0,3,CURRENCY,currency.gems,,8 - 180,45,TRUE,16%,,,,dailyDeals_slot_4_base,,consumable.potion,3,21.00,16.28%,CURRENCY,currency.gems,45,,,
,,,,,,,,,,,dailyDeals_slot_4_base,dynamic_owned_pet,8.4,20,CURRENCY,currency.gems,,8 - 180,90,TRUE,33%,,,,dailyDeals_slot_4_base,,dynamic_owned_pet,20,5.04,3.91%,CURRENCY,currency.gems,90,,,
,,,,,,,,,,,dailyDeals_slot_4_base,dynamic_random_candy,21.0,2,CURRENCY,currency.gems,,8 - 180,160,TRUE,33%,,,,dailyDeals_slot_4_base,,dynamic_random_candy,2,21.00,16.28%,CURRENCY,currency.gems,160,,,reach_world_5
,,,,,,,,,,,dailyDeals_slot_4_base,dynamic_owned_pet,8.4,25,CURRENCY,currency.gems,,8 - 180,112.5,TRUE,33%,,,,dailyDeals_slot_4_base,,dynamic_owned_pet,25,4.72,3.66%,CURRENCY,currency.gems,110,,,
,,,,,,,,,,,dailyDeals_slot_4_base,dynamic_owned_pet,8.4,30,CURRENCY,currency.gems,,8 - 180,135,TRUE,33%,,,,dailyDeals_slot_4_base,,dynamic_owned_pet,30,4.29,3.33%,CURRENCY,currency.gems,135,,,
,,,,,,,,,,,dailyDeals_slot_4_base,dynamic_owned_pet,8.4,35,CURRENCY,currency.gems,,8 - 180,157.5,TRUE,33%,,,,dailyDeals_slot_4_base,,dynamic_owned_pet,35,3.80,2.94%,CURRENCY,currency.gems,155,,,
,,,,,,,,,,,dailyDeals_slot_4_base,dynamic_owned_pet,8.4,40,CURRENCY,currency.gems,,8 - 180,180,TRUE,33%,,,,dailyDeals_slot_4_base,,dynamic_owned_pet,40,3.27,2.53%,CURRENCY,currency.gems,180,,,
,,,,,,,,,,,dailyDeals_slot_4_base,dynamic_owned_pet,7.0,8,CURRENCY,currency.gems,,8 - 180,36,TRUE,33%,,,,dailyDeals_slot_4_base,,dynamic_owned_pet,8,5.29,4.10%,CURRENCY,currency.gems,35,,,
,,,,,,,,,,,dailyDeals_slot_4_base,dynamic_owned_pet,7.0,12,CURRENCY,currency.gems,,8 - 180,54,TRUE,33%,,,,dailyDeals_slot_4_base,,dynamic_owned_pet,12,5.30,4.11%,CURRENCY,currency.gems,50,,,
,,,,,,,,,,,dailyDeals_slot_4_base,dynamic_owned_pet,10.0,15,CURRENCY,currency.gems,,8 - 180,67.5,TRUE,33%,,,,dailyDeals_slot_4_base,,dynamic_owned_pet,15,5.25,4.07%,CURRENCY,currency.gems,65,,,
,,,,,,,,,,,dailyDeals_slot_4_base,dynamic_owned_pet,7.0,20,CURRENCY,currency.gems,,8 - 180,90,TRUE,33%,,,,dailyDeals_slot_4_base,,dynamic_owned_pet,20,5.04,3.91%,CURRENCY,currency.gems,90,,,
,,,,,,,,,,,dailyDeals_slot_5_base,egg.rare,7.0,2,CURRENCY,currency.gems,,10 - 360,300,TRUE,9%,,,,dailyDeals_slot_5_base,,egg.rare,2,7.00,8.75%,CURRENCY,currency.gems,300,,,
,,,,,,,,,,,dailyDeals_slot_5_base,egg.epic,7.0,1,CURRENCY,currency.gems,,10 - 360,300,TRUE,9%,,,,dailyDeals_slot_5_base,,egg.epic,1,7.00,8.75%,CURRENCY,currency.gems,300,,,
,,,,,,,,,,,dailyDeals_slot_5_base,currency.coins,10.0,6000,CURRENCY,currency.gems,,10 - 360,240,TRUE,13%,,,,dailyDeals_slot_5_base,,currency.coins,6000,10.00,12.50%,CURRENCY,currency.gems,240,,,
,,,,,,,,,,,dailyDeals_slot_5_base,dynamic_random_candy,7.0,3,CURRENCY,currency.gems,,10 - 360,240,TRUE,18%,,,,dailyDeals_slot_5_base,,dynamic_random_candy,3,7.00,8.75%,CURRENCY,currency.gems,240,,,reach_world_5
,,,,,,,,,,,dailyDeals_slot_5_base,dynamic_owned_pet,7.0,30,CURRENCY,currency.gems,,10 - 360,135,TRUE,53%,,,,dailyDeals_slot_5_base,,dynamic_owned_pet,30,4.93,6.17%,CURRENCY,currency.gems,135,,,
,,,,,,,,,,,dailyDeals_slot_5_base,dynamic_random_candy,7.0,4,CURRENCY,currency.gems,,10 - 360,320,TRUE,18%,,,,dailyDeals_slot_5_base,,dynamic_random_candy,4,7.00,8.75%,CURRENCY,currency.gems,320,,,reach_world_5
,,,,,,,,,,,dailyDeals_slot_5_base,dynamic_owned_pet,10.0,40,CURRENCY,currency.gems,,10 - 360,180,TRUE,53%,,,,dailyDeals_slot_5_base,,dynamic_owned_pet,40,4.20,5.25%,CURRENCY,currency.gems,180,,,
,,,,,,,,,,,dailyDeals_slot_5_base,dynamic_owned_pet,7.0,50,CURRENCY,currency.gems,,10 - 360,225,TRUE,53%,,,,dailyDeals_slot_5_base,,dynamic_owned_pet,50,3.20,4.00%,CURRENCY,currency.gems,225,,,
,,,,,,,,,,,dailyDeals_slot_5_base,dynamic_owned_pet,21.0,60,CURRENCY,currency.gems,,10 - 360,270,TRUE,53%,,,,dailyDeals_slot_5_base,,dynamic_owned_pet,60,2.18,2.73%,CURRENCY,currency.gems,270,,,
,,,,,,,,,,,dailyDeals_slot_5_base,dynamic_owned_pet,7.0,70,CURRENCY,currency.gems,,10 - 360,315,TRUE,53%,,,,dailyDeals_slot_5_base,,dynamic_owned_pet,70,1.33,1.67%,CURRENCY,currency.gems,310,,,
,,,,,,,,,,,dailyDeals_slot_5_base,dynamic_owned_pet,7.0,80,CURRENCY,currency.gems,,10 - 360,360,TRUE,53%,,,,dailyDeals_slot_5_base,,dynamic_owned_pet,80,0.73,0.91%,CURRENCY,currency.gems,360,,,
,,,,,,,,,,,dailyDeals_slot_5_base,dynamic_owned_pet,7.0,17,CURRENCY,currency.gems,,10 - 360,76.5,TRUE,53%,,,,dailyDeals_slot_5_base,,dynamic_owned_pet,17,5.15,6.43%,CURRENCY,currency.gems,75,,,
,,,,,,,,,,,dailyDeals_slot_5_base,dynamic_owned_pet,7.0,25,CURRENCY,currency.gems,,10 - 360,112.5,TRUE,53%,,,,dailyDeals_slot_5_base,,dynamic_owned_pet,25,5.13,6.41%,CURRENCY,currency.gems,110,,,
,,,,,,,,,,,dailyDeals_slot_5_base,dynamic_owned_pet,7.0,20,CURRENCY,currency.gems,,10 - 360,90,TRUE,53%,,,,dailyDeals_slot_5_base,,dynamic_owned_pet,20,5.18,6.48%,CURRENCY,currency.gems,90,,,
,,,,,,,,,,,dailyDeals_slot_5_base,dynamic_owned_pet,7.0,15,CURRENCY,currency.gems,,10 - 360,67.5,TRUE,53%,,,,dailyDeals_slot_5_base,,dynamic_owned_pet,15,5.09,6.37%,CURRENCY,currency.gems,65,,,
,,,,,,,,,,,dailyDeals_slot_5_base,dynamic_owned_pet,4.6,10,CURRENCY,currency.gems,,10 - 360,45,TRUE,53%,,,,dailyDeals_slot_5_base,,dynamic_owned_pet,10,4.87,6.09%,CURRENCY,currency.gems,45,,,
,,,,,,,,,,,dailyDeals_slot_6_base,egg.rare,4.6,3,CURRENCY,currency.gems,,12 - 720,450,TRUE,4%,,,,dailyDeals_slot_6_base,,egg.rare,3,4.60,3.99%,CURRENCY,currency.gems,450,,,
,,,,,,,,,,,dailyDeals_slot_6_base,egg.epic,4.6,2,CURRENCY,currency.gems,,12 - 720,600,TRUE,4%,,,,dailyDeals_slot_6_base,,egg.epic,2,4.60,3.99%,CURRENCY,currency.gems,600,,,
,,,,,,,,,,,dailyDeals_slot_6_base,egg.legendary,10.0,1,CURRENCY,currency.gems,,12 - 720,600,TRUE,9%,,,,dailyDeals_slot_6_base,,egg.legendary,1,10.00,8.68%,CURRENCY,currency.gems,600,,,
,,,,,,,,,,,dailyDeals_slot_6_base,currency.coins,12.0,12000,CURRENCY,currency.gems,,12 - 720,480,TRUE,10%,,,,dailyDeals_slot_6_base,,currency.coins,12000,12.00,10.42%,CURRENCY,currency.gems,480,,,
,,,,,,,,,,,dailyDeals_slot_6_base,dynamic_owned_pet,4.6,80,CURRENCY,currency.gems,,12 - 720,360,TRUE,73%,,,,dailyDeals_slot_6_base,,dynamic_owned_pet,80,3.72,3.23%,CURRENCY,currency.gems,360,,,
,,,,,,,,,,,dailyDeals_slot_6_base,dynamic_owned_pet,4.6,90,CURRENCY,currency.gems,,12 - 720,405,TRUE,73%,,,,dailyDeals_slot_6_base,,dynamic_owned_pet,90,2.28,1.98%,CURRENCY,currency.gems,400,,,
,,,,,,,,,,,dailyDeals_slot_6_base,dynamic_owned_pet,4.6,100,CURRENCY,currency.gems,,12 - 720,450,TRUE,73%,,,,dailyDeals_slot_6_base,,dynamic_owned_pet,100,1.24,1.08%,CURRENCY,currency.gems,450,,,
,,,,,,,,,,,dailyDeals_slot_6_base,dynamic_owned_pet,10.0,110,CURRENCY,currency.gems,,12 - 720,495,TRUE,73%,,,,dailyDeals_slot_6_base,,dynamic_owned_pet,110,0.61,0.53%,CURRENCY,currency.gems,490,,,
,,,,,,,,,,,dailyDeals_slot_6_base,dynamic_owned_pet,12.0,120,CURRENCY,currency.gems,,12 - 720,540,TRUE,73%,,,,dailyDeals_slot_6_base,,dynamic_owned_pet,120,0.27,0.23%,CURRENCY,currency.gems,540,,,
,,,,,,,,,,,dailyDeals_slot_6_base,dynamic_owned_pet,4.6,150,CURRENCY,currency.gems,,12 - 720,675,TRUE,73%,,,,dailyDeals_slot_6_base,,dynamic_owned_pet,150,0.01,0.01%,CURRENCY,currency.gems,670,,,
,,,,,,,,,,,dailyDeals_slot_6_base,dynamic_owned_pet,4.6,300,CURRENCY,currency.gems,,12 - 720,1350,FALSE,73%,,,,dailyDeals_slot_6_base,,dynamic_owned_pet,300,0.00,0.00%,CURRENCY,currency.gems,1350,,,
,,,,,,,,,,,dailyDeals_slot_6_base,dynamic_owned_pet,4.6,60,CURRENCY,currency.gems,,12 - 720,270,TRUE,73%,,,,dailyDeals_slot_6_base,,dynamic_owned_pet,60,7.15,6.20%,CURRENCY,currency.gems,270,,,
,,,,,,,,,,,dailyDeals_slot_6_base,dynamic_owned_pet,10.0,50,CURRENCY,currency.gems,,12 - 720,225,TRUE,73%,,,,dailyDeals_slot_6_base,,dynamic_owned_pet,50,8.38,7.28%,CURRENCY,currency.gems,225,,,
,,,,,,,,,,,dailyDeals_slot_6_base,dynamic_owned_pet,12.0,40,CURRENCY,currency.gems,,12 - 720,180,TRUE,73%,,,,dailyDeals_slot_6_base,,dynamic_owned_pet,40,8.80,7.64%,CURRENCY,currency.gems,180,,,
,,,,,,,,,,,dailyDeals_slot_6_base,dynamic_owned_pet,12.0,30,CURRENCY,currency.gems,,12 - 720,135,TRUE,73%,,,,dailyDeals_slot_6_base,,dynamic_owned_pet,30,8.26,7.17%,CURRENCY,currency.gems,135,,,
,,,,,,,,,,,dailyDeals_slot_6_base,dynamic_owned_pet,12.0,35,CURRENCY,currency.gems,,12 - 720,157.5,TRUE,73%,,,,dailyDeals_slot_6_base,,dynamic_owned_pet,35,8.64,7.50%,CURRENCY,currency.gems,155,,,
,,,,,,,,,,,dailyDeals_slot_6_base,dynamic_owned_pet,12.0,45,CURRENCY,currency.gems,,12 - 720,202.5,TRUE,73%,,,,dailyDeals_slot_6_base,,dynamic_owned_pet,45,8.71,7.56%,CURRENCY,currency.gems,200,,,
,,,,,,,,,,,dailyDeals_slot_6_base,dynamic_owned_pet,12.0,25,CURRENCY,currency.gems,,12 - 720,112.5,TRUE,73%,,,,dailyDeals_slot_6_base,,dynamic_owned_pet,25,7.68,6.66%,CURRENCY,currency.gems,110,,,
,,,,,,,,,,,dailyDeals_slot_6_base,dynamic_owned_pet,12.0,20,CURRENCY,currency.gems,,12 - 720,90,TRUE,73%,,,,dailyDeals_slot_6_base,,dynamic_owned_pet,20,6.94,6.02%,CURRENCY,currency.gems,90,,,
,,,,,,,,,,,dailyDeals_slot_6_base,dynamic_owned_pet,12.0,15,CURRENCY,currency.gems,,12 - 720,67.5,TRUE,73%,,,,dailyDeals_slot_6_base,,dynamic_owned_pet,15,6.10,5.30%,CURRENCY,currency.gems,65,,,
,,,,,,,,,,,dailyDeals_slot_6_base,dynamic_owned_pet,,10,CURRENCY,currency.gems,,12 - 720,45,TRUE,73%,,,,dailyDeals_slot_6_base,,dynamic_owned_pet,10,5.22,4.53%,CURRENCY,currency.gems,45,,,
,,,,,,,,,,,,,,50,CURRENCY,currency.gems,,,,,,,,,,,,50,,,CURRENCY,currency.gems, ,,,
,,,,,,,,,,,,,,40,CURRENCY,currency.gems,,,,,,,,,,,,40,,,CURRENCY,currency.gems, ,,,
,,,,,,,,,,,,,,30,CURRENCY,currency.gems,,,,,,,,,,,,30,,,CURRENCY,currency.gems, ,,,
,,,,,,,,,,,,,,35,CURRENCY,currency.gems,,,,,,,,,,,,35,,,CURRENCY,currency.gems, ,,,
,,,,,,,,,,,,,,45,CURRENCY,currency.gems,,,,,,,,,,,,45,,,CURRENCY,currency.gems, ,,,
,,,,,,,,,,,,,,25,CURRENCY,currency.gems,,,,,,,,,,,,25,,,CURRENCY,currency.gems, ,,,
,,,,,,,,,,,,,,20,CURRENCY,currency.gems,,,,,,,,,,,,20,,,CURRENCY,currency.gems, ,,,
,,,,,,,,,,,,,,15,CURRENCY,currency.gems,,,,,,,,,,,,15,,,CURRENCY,currency.gems, ,,,
,,,,,,,,,,,,,,10,CURRENCY,currency.gems,,,,,,,,,,,,10,,,CURRENCY,currency.gems, ,,,
,,,,,,,,,,,,,,70,CURRENCY,currency.gems,,,,,,,,,,,,70,,,CURRENCY,currency.gems, ,,,
,,,,,,,,,,,,,,65,CURRENCY,currency.gems,,,,,,,,,,,,65,,,CURRENCY,currency.gems, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
