# niveau=6 ; parties_par_case=500 ; bot=dur ; decks=Personnages (mélange) + Adversaires ; source=brouillon du builder
deck;adversaire;parties;decisives;victoires;taux;intervalle_95;nulles;bloquees;tours_moyens;avantage_premier;lecture
Médor (mélange);Lapin Chapardeur (PNJ);500;500;403;80,6;3,5;0;0;12,0;62,2;ecrasant
Médor (mélange);Chat de Ruelle (PNJ);500;500;368;73,6;3,9;0;0;14,8;59,2;ecrasant
Médor (mélange);Médor (mélange);500;500;250;50,0;4,4;0;0;15,2;65,6;miroir
Médor (mélange);Athena (mélange);500;500;247;49,4;4,4;0;0;15,7;68,6;équilibré
Médor (mélange);Corbeau Rieur (PNJ);500;500;212;42,4;4,3;0;0;15,1;64,8;entre deux cibles
Médor (mélange);Roux (mélange);500;500;255;51,0;4,4;0;0;14,0;67,0;équilibré
Médor (mélange);Renard des Neiges (PNJ);500;500;69;13,8;3,0;0;0;22,1;56,6;ecrasant
Médor (mélange);Grand-Duc (PNJ);500;500;0;0,0;0,4;0;0;24,2;50,0;ecrasant
Médor (mélange);Capitaine Grenouille (PNJ);500;500;1;0,2;0,5;0;0;20,9;50,2;ecrasant
Médor (mélange);Felix (mélange);500;500;93;18,6;3,4;0;0;14,5;59,8;ecrasant
Médor (mélange);Corax (mélange);500;500;110;22,0;3,6;0;0;16,4;64,8;ecrasant
Felix (mélange);Médor (mélange);500;500;394;78,8;3,6;0;0;15,0;59,2;ecrasant
Médor (mélange);Grand Mechant Loup (PNJ);500;500;61;12,2;2,9;0;0;19,8;57,4;ecrasant
Médor (mélange);Bulle (mélange);500;500;227;45,4;4,3;0;0;14,8;59,4;équilibré
Felix (mélange);Felix (mélange);500;500;262;52,4;4,4;0;0;15,6;72,4;miroir
Médor (mélange);Crapaud Baveux (PNJ);500;500;121;24,2;3,7;0;0;16,1;60,6;ecrasant
Felix (mélange);Corax (mélange);500;500;348;69,6;4,0;0;0;16,2;64,4;favorable
Felix (mélange);Bulle (mélange);500;500;358;71,6;3,9;0;0;14,5;57,6;favorable
Felix (mélange);Roux (mélange);500;500;380;76,0;3,7;0;0;13,1;64,4;ecrasant
Felix (mélange);Athena (mélange);500;500;391;78,2;3,6;0;0;14,4;64,2;ecrasant
Felix (mélange);Chat de Ruelle (PNJ);500;500;473;94,6;2,0;0;0;13,4;53,8;ecrasant
Felix (mélange);Corbeau Rieur (PNJ);500;500;340;68,0;4,1;0;0;14,1;74,4;favorable
Médor (mélange);Pieuvre Pirate (PNJ);500;500;125;25,0;3,8;0;0;21,6;58,6;ecrasant
Felix (mélange);Lapin Chapardeur (PNJ);500;500;482;96,4;1,7;0;0;11,1;53,6;ecrasant
Felix (mélange);Crapaud Baveux (PNJ);500;500;276;55,2;4,3;0;0;16,0;71,2;équilibré
Felix (mélange);Pieuvre Pirate (PNJ);500;500;328;65,6;4,1;0;0;19,3;73,2;favorable
Corax (mélange);Médor (mélange);500;500;388;77,6;3,6;0;0;16,4;62,0;ecrasant
Felix (mélange);Grand Mechant Loup (PNJ);500;500;271;54,2;4,4;0;0;19,2;67,4;équilibré
Corax (mélange);Roux (mélange);500;500;202;40,4;4,3;0;0;13,5;69,2;entre deux cibles
Felix (mélange);Renard des Neiges (PNJ);500;500;281;56,2;4,3;0;0;20,3;60,6;entre deux cibles
Corax (mélange);Corax (mélange);500;500;248;49,6;4,4;0;0;18,1;70,4;miroir
Corax (mélange);Bulle (mélange);500;500;293;58,6;4,3;0;0;15,7;66,6;entre deux cibles
Felix (mélange);Capitaine Grenouille (PNJ);500;500;78;15,6;3,2;0;0;27,2;55,6;ecrasant
